pin_id,node_id,image_url,image_width,image_height,available_sizes,description,title,link,pin_url,board_name,pinner_username,dominant_color,is_story_pin,local_image_path
719450109243505184,UGluOjcxOTQ1MDEwOTI0MzUwNTE4NA==,https://i.pinimg.com/originals/fa/72/e4/fa72e44e182c670b8129887f167cdd4c.jpg,900,1200,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/719450109243505184/,fits ☆,wrrycks,#a4a094,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_719450109243505184.jpg
587016132708868244,UGluOjU4NzAxNjEzMjcwODg2ODI0NA==,https://i.pinimg.com/originals/e8/ff/aa/e8ffaa420ca4b76e3d80f7f9cd967b37.jpg,960,1200,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/587016132708868244/,fotografi,scanarxy,#5c6368,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_587016132708868244.jpg
307441112040084789,UGluOjMwNzQ0MTExMjA0MDA4NDc4OQ==,https://i.pinimg.com/originals/44/78/62/447862ad25bd68b766e203f003cfc5b7.jpg,683,1024,170x|236x|474x|736x|orig,,,http://death-de-dior.tumblr.com/post/122097489343/milan-mens-fashion-week-street-style,https://www.pinterest.com/pin/307441112040084789/,The male perspective of my prospective...,KCMiguelle,#374349,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_307441112040084789.jpg
338262622035664218,UGluOjMzODI2MjYyMjAzNTY2NDIxOA==,https://i.pinimg.com/originals/2e/2e/57/2e2e57070880285a448132bcb5dd14fe.jpg,1080,1920,170x|236x|474x|736x|orig,"Modern Muse | Edition 6: Copenhagen. She’s busy, she’s traveling, and she’s making plans with a sharp, intentional energy. This edit reimagines a classic city silhouette with a vibrant headscarf, structured Fendi accessories, and the signature heels-and-socks trend. Staying comfortable on a 15°C day with light, practical layers and a bold leather midi and staying stylish while on the move. #AmsterdamStreetStyle #ModernMuse #PowerDressing #fallaesthetic","Modern Muse @ Copenhagen Travelogue Edition 6 | Polished , Sleek and Chic",https://www.shffls.com/shuffles/3160150450823056192,https://www.pinterest.com/pin/338262622035664218/,Style,Kpvirgo89,#81776a,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_338262622035664218.jpg
723109283933043267,UGluOjcyMzEwOTI4MzkzMzA0MzI2Nw==,https://i.pinimg.com/originals/75/b0/15/75b015e2feadfef1171501eb2481b808.jpg,698,1200,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/723109283933043267/,STYLE,Italyaaaa,#837364,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_723109283933043267.jpg
813744226447932342,UGluOjgxMzc0NDIyNjQ0NzkzMjM0Mg==,https://i.pinimg.com/originals/41/f0/19/41f01947b40dd6b5765f09b6b7e53a6f.jpg,750,1334,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/813744226447932342/,GDRAGON’s daily,superstargd,#94987c,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_813744226447932342.jpg
997547386230019329,UGluOjk5NzU0NzM4NjIzMDAxOTMyOQ==,https://i.pinimg.com/originals/07/74/aa/0774aab4ad7c2cdef4f7d7b0f13bbbe1.jpg,960,1200,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/997547386230019329/,مدار,alanoudbadar1425,#708676,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_997547386230019329.jpg
55169164172732853,UGluOjU1MTY5MTY0MTcyNzMyODUz,https://i.pinimg.com/originals/b6/4e/ab/b64eab1cbec9ac542b6198c3af2b4614.jpg,720,1280,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/55169164172732853/,"ropa, accesorios, mochilas, etc",muzzilli,#7d6957,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_55169164172732853.jpg
882213014494917629,UGluOjg4MjIxMzAxNDQ5NDkxNzYyOQ==,https://i.pinimg.com/originals/d7/87/61/d787612459b6d2094d720b927767a7bc.jpg,1080,1920,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/882213014494917629/,OutFits,BCUSBJ,#b2a28c,True,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_882213014494917629.jpg
449023025364704898,UGluOjQ0OTAyMzAyNTM2NDcwNDg5OA==,https://i.pinimg.com/originals/50/d5/ad/50d5ad0a5c2576a3399e0872f23e2725.jpg,850,1047,170x|236x|474x|736x|orig,ゴアテックス、スウェット、サーファー愛用服etc. 種市 暁の夏の大人カジュアルコーデ5選！,,https://oceans.tokyo.jp/article/detail/43255?page=3,https://www.pinterest.com/pin/449023025364704898/,Clothing,matayev2092,#43272a,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_449023025364704898.jpg
873768765220417684,UGluOjg3Mzc2ODc2NTIyMDQxNzY4NA==,https://i.pinimg.com/originals/1f/be/d2/1fbed2048bf9f5654543f81050ef09ce.jpg,675,1200,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/873768765220417684/,منشورات من خلالك,masaadaja873,#6d6258,True,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_873768765220417684.jpg
